,#,Play
0,0,YR-SALSA SP RT/LT R-CASPER  2 | 3 Y-WHAM
1,1,YR-WALTZ SP RT/LT 2 | 3 W-WHAM
2,2,YR-TANGO WHIP QDS RT/LT R-CASPER 2 | 3 Y-WHAM
3,3,YR-TANGO WHIP QDS RT/LT (R-CASPER GIVE) 2 | 3 Y-WRAP
4,4,PART/LTY QDS RT/LT BUN 32|23 Y-WHAM
5,5,HORSES RT/LT TITE 22|33 Y-WHAM
6,6,STL SP RT/LT BUN ZAX R-CASPER 2 | 3 Y-WHAM X-GHOST
7,7,STL SP RT/LT BUN ZAX 2 | 3 Y-WRAP (X-GHOST GIVE)
8,8,STL SP RT/LT BUN ZAX (R-CASPER GIVE) 2 | 3 Y-WHAM
9,9,YR-SALSA WHIP SP RT/LT R-CAPSER 2 | 3 Y-ZAP RAKE
10,10,YR-SALSA SP RT/LT RAY 3 | 2 ZAP CAPTAIN SW
11,12,(FIB) SP LT/RT WAX 3 | 2 ZAP ROCKER X-LION|RAM
12,13,(FIB) Y-FLY SP LT/RT AXE 3 | 2 Y-ZAP RAKE SILVER
13,14,YR-WALTZ SP RT/LT 3 | 2 R-ZAP SHIELD
14,15,YR-WALTZ SP RT/LT 3 | 2 R-ZAP COLONEL Y-SILVER
15,16,YR-WALTZ SP RT/LT AXE 2 | 3 W-ZAP BRONZE
16,17,STILL QDS RT/LT BUN 2 | 3 R-ZAP SNAKE
17,18,STILL QDS RT/LT BUN 3 | 2 ZAP ERIE W-SILVER
18,19,YR-TANGO QDS RT/LT POP 3 | 2 RY-ZORRO R-SHIELD
19,20,YR-WALTZ SP RT/LT 2 | 3 R-ZORRO RAKE
20,21,SP RT/LT RAY  32|23 ZIMBA DUPLEX R-RAM|LIONBO|LIMBO
21,23,SP RT/LT  23|32 ZIMBA TRIPLEX
22,24,QDS YAX Y-TUFF  23|32 ZIMBA CAPTAIN X-ANGLE
23,25,SP RT/LT RAY Y-TUFF FLEX 32|23 S-SPEEDO Y-ARC
24,26,YOYO SP RT/LT RAX X-SPIRIT 2 | 3 X-SPEEDO S-SHARK
25,27,YX-SALSA RIP SP RT/LT 7 | 6 Y-BOSS
26,28,YX-SALSA RIP SP RT/LT (X-CASPER GIVE) 7 | 6 Y-SPOOK
27,29,YR-TANGO QDS RT/LT 7 | 6 Y-BOSS
28,30,R-FLY YOYO SP RT/LT Y-TUFF X-PILE 6 | 7 W-WHAM
29,31,STL SP RT/LT BUN ZAX R-CASPER 7 | 6 Y-BOSS
30,32,STL SP RT/LT BUN ZAX (R-CASPER GIVE) 7 | 6 Y-SPOOK
31,34,YX-TANGO QDS RT/LT RAX 35|24 TRAIN|LIGHT Y-BOSS
32,35,YOYO SP RT/LT RAX 15 TRAIN|LIGHT X-BASH S-SHARK
33,36,STL QDS RT/LT BUN 15 TRAIN|LIGHT S-ROSE|LEB 
34,37,HORSES RT/LT TITE 28|39 H-TEX YW-CRACK
35,38,YOYO SP RT/LT RAX (X-CASPER GIVE) 8 | 9 Y-TEX S-LOAD
36,39,SP RT/LT XR SNUG X-GHOST 19 R-TEX S-LOAD
37,40,X-CHILL RHINO RT/LT CHAINS
38,41,X-CHILL RHINO RT/LT EAST|WEST/WEST LEAD
39,42,SP RT/LT WAR DOT X-DANCE CHAINS
40,43,SQUEEZE SP RT/LT W-CAS X-GHO EAST|WEST/WEST CHAINS XR-PIN S-SHARK
41,45,YR-TANGO QDS RT/LT  3 | 2 ZAP BOOT Y-PIN COBRA X-BLADE
42,46,YX-SALSA RIP SP RT/LT 7 | 6 BOOT Y-SLAM POGO R-OCEAN X-UNDER 
43,47,YOYO SP RT/LT RAX  POP CASPER 260|61 R-STEAL DAYTONA  
44,48,YR-TANGO QDS RT/LT 7 | 6 BOOT Y-PIN ERIE X-BLADE
45,49,STL SP RT/LT BUN ZAX  POP 2 | 3 Y-WHAM X-GHOST POGO W-OCEAN
46,50,R-FLY YOYO SP RT/LT Y-TUFF X-PILE POP 6 | 7 W-WHAM POGO Y-CROW Z-OUTLAW
47,51,X-CHILL RHINO RT/LT POP EAST|WEST LEAD F-BOSS X-CORNER
48,52,YOYO WK SP RT/LT WAR HOT 50|51 S-RAM|LIONBO|LIMBO X-LION
49,53,WHIP HOLLOW RT/LT STAR RAS HOT 50|51 R-RAM|LION
50,54,SP RT/LT XR-SNUG X-GHOST  POP 3 | 2 ZAP X-RAM|LIONBO|LIMBO
51,56,QDS RT/LT YAX Y-TUFF WX STACK HOT 50|51 X-RAM|LION S-SHARK
52,57,Y-FLOAT R-DISCO QDS RT/LT HOT 50|51 S-SHIELD TRADE Y-ARC
53,58,Y-FLY SP RT/LT AXE 75|74 DAVID OR DARIUS
54,59,   Y-FLY SP RT/LT HOT 60|61 THIEF
55,60,YOYO WK SP RT/LT Y-PILE HOT 61|60 THIEF 
56,61,HOLLOW RT/LT RAS HOT 50|51 THIEF R-SIT
57,62,YR-WALTZ SP RT/LT HOT 60|61 STICK X-SPACING S-WIDE
58,63,Y-FLOAT R-DISCO QDS RT/LT HOT 60|61 STICK WALL X-SIT
59,64,PART/LTY QDS BUNCH RT/LT HOT 60|61 STICK W-SIT X-OUTLAW
60,65,SP RT/LT RAY Y-TUFF FLEX HOT 61|60 OUTLAW R-SPACING S-WIDE
61,67,SQUEEZE WK SP RT/LT BUNCH HOT 61|60 OUTLAW Y-SIT
62,68,STL SP RT/LT BUN ZAX HOT 61|60 OUTLAW W-SPACING S-WIDE
63,69,SP RT/LT RAY HOT 60|61 BENCH MUDD
64,70,QUADS RT/LT RAY  HOT 60|61 MUDD Y-STEAL X-OUTLAW
65,71,SOAR|SAIL HOLLOW RT/LT HOT 50|51 BENCH MUDD Y-SIT
66,72,YR-SALSA SP RT/LT RAY HOT 74|75 STAY CHERRY X-SIT
67,73,Y-FLY SP RT/LT X-PILE HOT 60|61 CHERRY X-SPACING
68,74,WK SP WAR  HOT 61|60 CERISE STEAL
69,75,SP RT/LT  61|60 DAYTONA CADET S-FLAT
70,76,R-FLY SP RT/LT X-PILE 60|61 FLORIDA X-ZOOM
71,78,Y-FLOAT R-DISCO QDS RT/LT 60|61 STAY FLORIDA Y-FENCE-X
72,79,YR-SALSA SP RT/LT 61|60 CADET Y-CROW W-IPOD
73,80,Y-FLY SP RT/LT WAX  75|74 RX-CADET POISON
74,81,R-FLY YOYO SP RT/LT Y-TUFF Z-STACK BLUE|RED Y-PIN Z-COP R-DRIVE
75,82,STL SP RT/LT BUN ZAX 60|61 X-COP SW W-FENCE R
76,83,YR-SALSA SP RAY ZIP 74|75 COLONEL X-APPLE
77,84,Y-FLY HORSES RT/LT TITE  70|71 CAPTAIN TRADE X-OUTLAW
78,85,Y-FLY SP RT/LT 61|60 CAPTAIN SHUFFLE BURP
79,86,YR-SALSA SP RT/LT RAY 61|60 CAPTAIN MOHAWK
80,87,TRIAD WK SP RT/LT SCAT 64|65 W-ERIE R-DRIVE
81,89,QDS RT/LT YAX Y-TUFF RX FLIP 74|75 FLOOD
82,90,YR-TANGO QUADS RT/LT BLUE|RED Y-PIN WALDO X-ZOOM
83,91,YX-TANGO QDS RT/LT RAX 75|74 STAY R-STEM X-CROW IPOD
84,92,Y-FLY R-SHAVE SP RT/LT 60|61 SHIRLEY X-SPACING
85,93,YR-SALSA WHIP SP RT/LT STAR RAY 74|75 SHIRLEY SHUFFLE
86,94,YOYO SP RT/LT X-PILE 60|61 AL X-ZOOM
87,95,TRIAD SP RT/LT  SCAT 65|64 AL W-CROW Z-APACHE
88,96,Y-FLY SP RT/LT X-PILE 60|61 CHEROKEE HARPOON
89,97,Y-FLY SP RT/LT X-PILE 60|61 BRAVES BENCH
90,98,TRIAD SPREAD RT/LT YW-PAIR 61|60 R-COUCH W-CROW Y-IPOD
91,101,YR-WALTZ SP RT/LT WHIP 75|74 STAY COUCH W-CROW Z-PONY
92,102,Y-FLY SP RT/LT 61|60 R-BIRCH Y-CROW Z-APACHE
93,103,RY-WALTZ SP RT/LT WHIP 75|74 STAY R-BIRCH W-CROW Z-PONY
94,104,R-CHILL STIL QDS RT/LT BUNCH ZAR 75|74 PONY W-FLAT X-THIEF
95,105,SP RAY STAR X-PILE 74|75 PONY R-WHEEL|HAIR X-OUTLAW
96,106,TRIAD SP RT/LT (ABDALA) 61|60 IPOD SW Y-CROW W-CADET
97,107,Y-FLING WK SP RT/LT (BEN) 60|61 STAY W-SLAM X-SCISSORS Y-BANG W-DRIVE
98,108,SP RT/LT XR SNUG (BEN) SCAT 65|64 X-SCISSORS R-FLAT W-STEAL Y-UNDER
99,109,WK SP RT/LT ZIP 60|61 W-POGO Y-CROW R-CADET 
100,120,SP RT/LT WAX (ABDALA) 75|74 W-POGO X-CADET
101,121,Y-FLY WK SP RT/LT WAR 61|60 HALIFAX
102,123,TRIAD SP RT/LT YW-PAIR 60|61 FRESNO S-WIDE
103,124,WK SP RT/LT WAX 74|75 DIRT/LT
104,125,PART/LTY QDS RT/LT BUNCH SCAT 65|64 X-SILVER R-RAVEN APACHE
105,126,TRIAD SP RT/LT SCAT 65|64 X-RAKE SILVER W-PONY
106,127,RX-TANGO QDS RT/LT YAX Y-TUFF 74|75 RUBY
107,128,RIP QDS RT/LT R-ON 75|74 ZEPHYR X-APPLE
108,129,Y-FLOAT R-DISCO QDS RT/LT   60|61 S-LIGHT|RAIN R-RAM|LION
109,130,X-CHILL RHINO RT/LT POP EAST|WEST LEAD SPECIAL
