,RecAlignment,Motion,ArriveAtMesh,Concept,PlayFamily,Protection
0,NAN,NAN,NAN,NAN,NAN,NAN
1,41,TANGO,,IZ GAP SCREEN,2/3 4/5 RAIN/LIGHT,
2,32,YOYO,,,,
3,32,YOYO,,GAP SCREEN,4/5 RAIN/LIGHT,
4,41 BUN,,,GAP SCREEN,4/5 RAIN/LIGHT,
5,4T1,,,PERIMETER,8/9 ,
6,41,TANGO,,IZ GAP SCREEN,2/3 4/5 RAIN/LIGHT,
7,32,YOYO,,,,
8,4T1,,,PERIMETER,8/9 ,
9,41,TANGO,,IZ GAP SCREEN,2/3 4/5 RAIN/LIGHT,
10,32,YOYO,,GAP SCREEN,4/5 RAIN/LIGHT,
11,41 BUN,,,GAP SCREEN,4/5 RAIN/LIGHT,
12,4T1,,,PERIMETER,8/9,
13,32,YOYO,,GAP SCREEN,4/5 RAIN/LIGHT,
14,NAN,NAN,NAN,NAN,NAN,NAN
16,NAN,NAN,NAN,NAN,NAN,NAN
17,32,TRIAD,,OZ,6/7 FRESNO,60
18,32,,,OZ QUICK,6/7 MUDD BENCH,60
19,32,YOYO,,,COP PIN,BLUE 
20,32,YOYO,,GAP SCREEN,4/5 RAIN/LIGHT,
21,32,TRIAD,,GAP OZ,4/5 6/7 ERIE,SCAT 65 
22,32,TRIAD,,OZ,6/7 FRESNO,60
23,32,,,OZ QUICK,6/7 MUDD BENCH,60
24,32,YOYO,,OZ,6/7 AL,61
25,4T1,,,PERIMETER,8/9 ,
26,32,TRIAD,,GAP OZ,4/5 6/7 ERIE,SCAT 65 
27,32,,,OZ QUICK,6/7 MUDD BENCH,60
28,32,YOYO,,,COP PIN,BLUE 
29,32,YOYO,,OZ,6/7 AL,60
30,32,TRIAD,,GAP OZ,4/5 6/7 ERIE,SCAT 65 
31,32,YOYO,,,COP PIN,RED 
32,41 BUN,,,GAP SCREEN,4/5 RAIN/LIGHT,
33,32,,,OZ QUICK,6/7 MUDD BENCH,60
34,32,YOYO,,OZ,6/7 AL,60
